,faction,class,name,unit_size,offence,defence,caste,category,special_category,multiplayer_cost,entity_size,key,fly_speed
0,wh_dlc05_wef_wood_elves,Lord,Glade Lord on Great Stag,1.0,AP,,Lord,Hybrid Weapon Specialist,,1300.0,medium,wh2_dlc16_wef_cha_glade_lord_4,0.0
1,wh_dlc05_wef_wood_elves,Lord,Spellweaver (Shadows) on Elven Steed,1.0,MA,,Lord,Wizard,,600.0,medium,wh2_dlc16_wef_cha_spellweaver_shadows_1,0.0
2,wh_dlc05_wef_wood_elves,Lord,Glade Lord on Great Eagle,1.0,MA,,Lord,Hybrid Weapon Specialist,,1400.0,large,wh_dlc05_wef_cha_glade_lord_2,110.0
3,wh_dlc05_wef_wood_elves,Lord,Sisters of Twilight,1.0,AP,,Lord,Monstrous Beast,,1650.0,large,wh2_dlc16_wef_cha_sisters_of_twilight_0,110.0
4,wh_dlc05_wef_wood_elves,Lord,Spellweaver (High) on Elven Steed,1.0,MA,,Lord,Wizard,,600.0,medium,wh2_dlc16_wef_cha_spellweaver_high_1,0.0
5,wh_dlc05_wef_wood_elves,Lord,Spellweaver (High) on Unicorn,1.0,MA,,Lord,Wizard,,700.0,medium,wh2_dlc16_wef_cha_spellweaver_high_2,0.0
6,wh_dlc05_wef_wood_elves,Lord,Glade Lord on Forest Dragon,1.0,AP,,Lord,Hybrid Weapon Specialist,,2000.0,very_large,wh_dlc05_wef_cha_female_glade_lord_3,90.0
7,wh_dlc05_wef_wood_elves,Lord,Spellweaver (Life) on Unicorn,1.0,MA,,Lord,Wizard,,700.0,medium,wh2_dlc16_wef_cha_spellweaver_life_2,0.0
8,wh_dlc05_wef_wood_elves,Lord,Malevolent Ancient Treeman (Beasts),1.0,AP,Armoured,Lord,Monster,,1350.0,very_large,wh2_dlc16_wef_cha_malicious_ancient_treeman_beasts_0,0.0
9,wh_dlc05_wef_wood_elves,Lord,Spellweaver (Life),1.0,MA,,Lord,Wizard,,400.0,small,wh2_dlc16_wef_cha_spellweaver_life_0,0.0
