key	category	class	short_description_text	historical_description_text	campaign_action_points	man_entity	man_animation	num_mounts	mount	num_animals	animal	spacing	rank_depth	morale	bonus_hit_points	armour	shield	primary_missile_weapon	accuracy	primary_ammo	primary_melee_weapon	melee_attack	charge_bonus	melee_defence	dismounted_melee_attack	dismounted_charge_bonus	strengths_&_weaknesses_text	supports_first_person	training_level	num_engines	officers	engine	articulated_record	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	reload	loose_spacing	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	capture_power	secondary_ammo	damage_mod_flame	damage_mod_magic	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	mounted_draughts	sync_locomotion	can_brace
#land_units_tables;44;db/land_units_tables/!!!@@@ctt_boyz_200																																																											
wh_dlc07_brt_inf_peasant_bowmen_1TEST	inf_ranged	inf_mis	wh_dlc07_unit_short_text_brt_peasant_bowmen_fire	wh_main_unit_long_text_brt_peasant_bowmen	2100	wh_main_infantry_standard_light_blood_dismembers	hu1_bretonnian_sword_and_longbow	0		0		wh_main_infantry_ranged	5	100	55	body_60	none		10	22	sword_S3_A1	24	0	24	7	1	placeholder	false	trained	0	seb_whii_brt_foot_officer_archer			true	40.0	1500.0	0.0	wh_expendable_hideForest	60	80	0	false	vo_sel_bretonnian_peasant_bowmen	vo_sel_missile	vo_sel_culture	1.0	small	10.0	0	0	0	0	0	0	ranged	false	false	false	true
wh_dlc07_brt_inf_peasant_bowmen_2TEST	inf_ranged	inf_mis	wh_dlc07_unit_short_text_brt_peasant_bowmen_pox	wh_main_unit_long_text_brt_peasant_bowmen	2100	wh_main_infantry_standard_light_blood_dismembers	hu1_bretonnian_sword_and_longbow	0		0		wh_main_infantry_ranged	5	100	65	body_15	none		10	22	sword_S3_A1	24	0	26	7	1	placeholder	false	trained	0	seb_whii_brt_foot_officer_archer			true	40.0	1500.0	0.0	wh_expendable_hideForest	60	80	0	false	vo_sel_bretonnian_peasant_bowmen	vo_sel_missile	vo_sel_culture	1.0	small	10.0	0	0	0	0	0	0	ranged	false	false	false	true
wh_dlc07_brt_cav_grail_guardians_0	cavalry	cav_mel	wh_dlc07_unit_short_text_brt_grail_guardians	wh_main_unit_long_text_brt_grail_guardians	2100	wh_main_cavalry_rider_standard_blood	hu1_leoncoeur_hr1_warhorse_sword_and_shield	40	wh_main_brt_mnt_warhorse_barded	0		wh_main_cavalry_ordered	4	68	83	mail_95	wh_missile_block_35_wood		10	0	sword_S4_A2_mag	48	31	48	33	20	placeholder	false	trained	0	seb_whii_brt_horse_officer_grail_knights			true	40.0	1500.0	0.0	wh_hideForest_immPsy	60	80	0	false	vo_sel_bretonnian_grail_guardians	vo_sel_cavalry	vo_sel_culture	1.0	large	8.0	0	0	0	0	0	0	melee_flanker	false	false	false	false
wh_dlc07_brt_cav_knights_errant_0	cavalry	cav_shk	wh_dlc07_unit_short_text_brt_knights_errant	wh_dlc07_unit_long_text_brt_knights_errant	2100	wh_main_cavalry_rider_standard_blood	hu1_empire_hr1_warhorse_lance_sword_shield	60	wh_main_brt_mnt_warhorse_barded	0		wh_main_cavalry_ordered	5	60	83	mail_80	wh_missile_block_35_wood		10	0	lance_S3_A1	27	56	25	33	20	placeholder	false	trained	0	seb_whii_brt_horse_officer_knight			true	40.0	1500.0	0.0	wh_hideForest	60	80	0	false	vo_sel_bretonnian_knights_errant	vo_sel_cavalry	vo_sel_culture	1.0	large	8.0	0	0	0	0	0	0	melee_flanker_shock	false	false	false	false
wh_dlc07_brt_cav_questing_knights_0	cavalry	cav_shk	wh_dlc07_unit_short_text_brt_questing_knights	wh_dlc07_unit_long_text_brt_questing_knights	2100	wh_main_cavalry_rider_standard_blood	hu1_bretonnian_hr1_warhorse_2handed_sword	60	wh_dlc07_brt_mnt_questing_warhorse_barded	0		wh_main_cavalry_ordered	5	68	83	mail_95	wh_missile_block_30_wood		10	0	sword_S6_A1	35	40	27	71	13	placeholder	false	trained	0	seb_whii_brt_horse_officer_knight			true	40.0	1500.0	0.0	wh_hideForest_immPsy	60	80	0	false	vo_sel_bretonnian_questing_knights	vo_sel_cavalry	vo_sel_culture	1.0	large	8.0	0	0	0	0	0	0	melee_flanker	false	false	false	false
wh_dlc07_brt_cav_royal_hippogryph_knights_0	war_beast	cav_shk	wh_dlc07_brt_cav_royal_hippogryph_knights	wh_main_unit_long_text_brt_royal_hippogryph_knights	2100	wh_main_cavalry_rider_standard_blood	hu1_bretonnian_bc2b_hippogryph_wb_lance_sword_shield	4	wh_dlc07_brt_mnt_hippogrpyh_1	0		wh_dlc07_brt_royal_hippogryph_knights	1	68	2175	mail_90	none		10	0	claw_S4_A4_mag	43	94	33	33	20	placeholder	false	trained	0	seb_whii_brt_flying_officer_hippogryph			true	40.0	1500.0	0.0	wh_fear_terror	60	80	0	false	vo_sel_cavalry	vo_sel_cavalry	vo_sel_culture	1.0	large	0.0	0	0	0	0	0	0	flying_melee_shock_highvalue	false	false	false	false
wh_dlc07_brt_cav_royal_pegasus_knights_0	cavalry	cav_mel	wh_dlc07_brt_cav_royal_pegasus_knights	wh_main_unit_long_text_brt_royal_pegasus_knights	2100	wh_main_cavalry_rider_standard_blood	hu1_bretonnian_hr1_royal_pegasus_lancer	12	wh_main_brt_mnt_royal_pegasus	0		wh_main_cavalry_pegasus_knights	3	68	580	mail_90	wh_missile_block_30_wood		10	0	lance_S4_A4_mag	51	79	39	33	20	placeholder	false	trained	0	seb_whii_brt_flying_officer_pegasus			true	40.0	1500.0	0.0	wh_guerrilla_immPsy	60	80	0	false	vo_sel_bretonnian_pegasus_knights	vo_sel_cavalry	vo_sel_culture	1.0	large	0.0	0	0	0	0	0	0	flying_melee_shock_highvalue	false	false	false	false
wh_dlc07_brt_cha_alberic_bordeleaux_0	inf_melee	com	wh_dlc07_unit_short_text_brt_alberic	wh_main_unit_long_text_brt_alberic_of_bordeleaux	2100	wh_main_infantry_standard_hero_blood	hu1_empire_spear_and_shield	0		0		wh_main_infantry	1	74	2675	mail_80	wh_missile_block_35_wood		10	0	spear_S4_A4_char	58	17	50	33	20	placeholder	false	trained	0	A_blank_record			true	40.0	1500.0	0.0	wh_encourage_hideForest	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0	small	10.0	0	0	0	0	16	0	melee_highvalue	false	false	false	true
wh_dlc07_brt_cha_alberic_bordeleaux_1	cavalry	com	wh_dlc07_unit_short_text_brt_alberic	wh_main_unit_long_text_brt_alberic_of_bordeleaux	2100	wh_main_infantry_standard_hero_blood	hu1_empire_hr1_warhorse_lance_sword_shield	1	wh_main_brt_mnt_warhorse_barded_faction_colours	0		wh_main_cavalry_chaotic	1	74	2675	mail_105	wh_missile_block_35_wood		10	0	sword_S4_A4_char	58	49	50	33	20	placeholder	false	trained	0	A_blank_record			true	40.0	1500.0	0.0	wh_encourage_hideForest	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0	large	8.0	0	0	0	0	16	0	melee_cav_shock_highvalue	false	false	false	false
