unit	land_unit	num_men	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	is_naval	weight	recruitment_cost	upkeep_cost	create_time	campaign_cap	multiplayer_cost	multiplayer_cap	caste	prestige	additional_building_requirement	religion_requirement	recruitment_movie	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element
#main_units_tables;36;db/main_units_tables/!!!@@@ctt_boyz_200
wh_dlc07_brt_cav_grail_guardians_0	wh_dlc07_brt_cav_grail_guardians_0	80	wh_main_shp_transport	1	1	40	False	very_heavy	1220	244	2	0	1220	2	melee_cavalry	0					False	False	0	12010	True		wh_main_vo_culture_Bretonnian	cavalry	cavalry	4	False	emp_reiksguard		False	True		1220	0	False	vo_culture_None	False	wh_main_vo_actor_Bretonnian_Knight	0	True	False	6	False	False	
wh_dlc07_brt_cav_knights_errant_0	wh_dlc07_brt_cav_knights_errant_0	120	wh_main_shp_transport	1	1	60	False	very_heavy	910	182	1	-1	910	0	melee_cavalry	0					False	False	0	12033	True		wh_main_vo_culture_Bretonnian	shock_cavalry	shock_cavalry	2	False	emp_reiksguard		False	True		910	0	False	vo_culture_None	False	wh_main_vo_actor_Bretonnian_Knight	0	True	False	6	False	False	
wh_dlc07_brt_cav_questing_knights_0	wh_dlc07_brt_cav_questing_knights_0	120	wh_main_shp_transport	1	1	60	False	very_heavy	1300	260	2	0	1300	3	melee_cavalry	0					False	False	0	12037	True		wh_main_vo_culture_Bretonnian	cavalry	cavalry	4	False	emp_reiksguard		False	True		1300	0	False	vo_culture_None	False	wh_main_vo_actor_Bretonnian_Knight	0	True	False	6	False	False	
wh_dlc07_brt_cav_royal_hippogryph_knights_0	wh_dlc07_brt_cav_royal_hippogryph_knights_0	8	wh_main_shp_transport	1	1	4	False	very_heavy	3200	640	3	0	3200	1	monstrous_cavalry	0					False	False	0	12743	True		wh_main_vo_culture_Bretonnian	flying_monstrous_cavalry	flying_monstrous_cavalry	5	True	emp_reiksguard		False	True	composite_scene/porthole/hippogryph_knights_porthole_01.csc	3200	0	True	vo_culture_None	False	wh_main_vo_actor_Bretonnian_Knight	0	True	True	2	False	False	
wh_dlc07_brt_cav_royal_pegasus_knights_0	wh_dlc07_brt_cav_royal_pegasus_knights_0	24	wh_main_brt_shp_buccaneer	1	1	12	False	very_heavy	1610	322	3	0	1610	1	monstrous_cavalry	0					False	False	0	12599	True		wh_main_vo_culture_Bretonnian	cavalry_flying_rare	cavalry_flying_rare	5	True	emp_reiksguard		False	True	composite_scene/porthole/pegasus_riders_porthole_01.csc	1610	0	False	vo_culture_None	False	wh_main_vo_actor_Bretonnian_Knight	0	True	False	3	False	False	
wh_dlc07_brt_inf_battle_pilgrims_0	wh_dlc07_brt_inf_battle_pilgrims_0	240	wh_main_shp_transport	1	1	120	False	medium	860	172	1	0	860	0	melee_infantry	0					False	False	0	12059	True		wh_main_vo_culture_Bretonnian	infantry_sword	infantry_sword	3	False	emp_soldier_15_degrees		False	True		860	0	False	vo_culture_None	False	wh_main_vo_actor_Bretonnian_Infantry	0	True	False	6	False	False	
wh_dlc07_brt_inf_foot_squires_0	wh_dlc07_brt_inf_foot_squires_0	200	wh_main_shp_transport	1	1	100	False	medium	720	144	2	0	720	3	melee_infantry	0					False	False	0	12062	True		wh_main_vo_culture_Bretonnian	infantry_sword_great	infantry_sword	3	False	emp_soldier_15_degrees		False	True		720	0	False	vo_culture_None	False	wh_main_vo_actor_Bretonnian_Infantry	0	True	False	6	False	False	
wh_dlc07_brt_inf_grail_reliquae_0	wh_dlc07_brt_inf_grail_reliquae_0	160	wh_main_shp_transport	1	1	80	False	medium	860	172	2	0	860	1	melee_infantry	0					False	False	0	12067	True		wh_main_vo_culture_Bretonnian	wh_dlc07_brt_grail_relique	wh_dlc07_brt_grail_relique	4	False	emp_soldier_15_degrees		False	True		860	0	False	vo_culture_None	False	wh_main_vo_actor_Bretonnian_Infantry	0	True	False	6	False	False	
wh_dlc07_brt_inf_men_at_arms_1	wh_dlc07_brt_inf_men_at_arms_1	320	wh_main_shp_transport	1	1	160	False	medium	510	102	1	-1	510	0	melee_infantry	0					False	False	0	12044	True		wh_main_vo_culture_Bretonnian	infantry_sword	infantry_sword	2	False	emp_soldier_15_degrees		False	True		510	0	False	vo_culture_None	False	wh_main_vo_actor_Bretonnian_Infantry	0	True	False	6	False	False	
wh_dlc07_brt_inf_men_at_arms_2	wh_dlc07_brt_inf_men_at_arms_2	320	wh_main_shp_transport	1	1	160	False	medium	640	128	1	-1	640	0	melee_infantry	0					False	False	0	12051	True		wh_main_vo_culture_Bretonnian	infantry_sword	infantry_sword	3	False	emp_soldier_15_degrees		False	True		640	0	False	vo_culture_None	False	wh_main_vo_actor_Bretonnian_Infantry	0	True	False	6	False	False	
wh_dlc07_brt_inf_peasant_bowmen_1	wh_dlc07_brt_inf_peasant_bowmen_1	200	wh_main_shp_transport	1	1	100	False	light	560	112	1	-1	560	0	missile_infantry	0					False	False	0	12709	True		wh_main_vo_culture_Bretonnian	missile_infantry_bow	missile_infantry_bow	2	False	emp_soldier_30_degrees		False	True		112	448	False	vo_culture_None	False	wh_main_vo_actor_Bretonnian_Infantry	0	True	False	6	False	False	
wh_dlc07_brt_inf_peasant_bowmen_2	wh_dlc07_brt_inf_peasant_bowmen_2	200	wh_main_shp_transport	1	1	100	False	light	560	112	1	-1	560	0	missile_infantry	0					False	False	0	12710	True		wh_main_vo_culture_Bretonnian	missile_infantry_bow	missile_infantry_bow	2	False	emp_soldier_30_degrees		False	True		112	448	False	vo_culture_None	False	wh_main_vo_actor_Bretonnian_Infantry	0	True	False	6	False	False	
wh_dlc07_brt_inf_spearmen_at_arms_1	wh_dlc07_brt_inf_spearmen_at_arms_1	320	wh_main_shp_transport	1	1	160	False	medium	380	76	1	-1	380	0	melee_infantry	0					False	False	0	12040	True		wh_main_vo_culture_Bretonnian	infantry_spear	infantry_spear	1	False	emp_soldier_15_degrees		False	True		380	0	False	vo_culture_None	False	wh_main_vo_actor_Bretonnian_Infantry	0	True	False	6	False	False	
wh_dlc07_brt_peasant_mob_0	wh_dlc07_brt_inf_peasant_mob_0	400	wh_main_shp_transport	1	1	200	False	medium	320	64	1	-1	320	0	melee_infantry	0					False	False	0	12609	True		wh_main_vo_culture_Bretonnian	infantry_axe	infantry_axe	1	False	emp_soldier_15_degrees		False	True		320	0	False	vo_culture_None	False	wh_main_vo_actor_Bretonnian_Infantry	0	True	False	6	False	False	
wh_main_brt_cav_grail_knights	wh_main_brt_cav_grail_knights	80	wh_main_shp_transport	1	1	40	False	very_heavy	1220	244	2	0	1220	2	melee_cavalry	0					False	False	0	8578	True		wh_main_vo_culture_Bretonnian	shock_cavalry	shock_cavalry	4	False	emp_reiksguard		False	True		1220	0	False	vo_culture_None	False	wh_main_vo_actor_Bretonnian_Knight	0	True	False	6	False	False	
wh_main_brt_cav_knights_of_the_realm	wh_main_brt_cav_knights_of_the_realm	120	wh_main_shp_transport	1	1	60	False	heavy	1100	220	1	-1	1100	0	melee_cavalry	0					False	False	0	8595	True		wh_main_vo_culture_Bretonnian	shock_cavalry	shock_cavalry	3	False	emp_reiksguard		False	True		1100	0	False	vo_culture_None	False	wh_main_vo_actor_Bretonnian_Knight	0	True	False	6	False	False	
wh_main_brt_cav_mounted_yeomen_0	wh_main_brt_cav_mounted_yeomen_0	120	wh_main_shp_transport	1	1	60	False	medium	670	134	1	-1	670	0	melee_cavalry	0					False	False	0	10322	True		wh_main_vo_culture_Bretonnian	cavalry	cavalry	2	False	emp_reiksguard		False	True		720	0	False	vo_culture_None	False	wh_main_vo_actor_Bretonnian_Mounted	0	True	False	6	False	False	
wh_main_brt_cav_mounted_yeomen_1	wh_main_brt_cav_mounted_yeomen_1	120	wh_main_shp_transport	1	1	60	False	medium	670	134	1	-1	670	3	missile_cavalry	0					False	False	0	10331	True		wh_main_vo_culture_Bretonnian	missile_cavalry_bow	missile_cavalry_bow	2	False	emp_reiksguard		False	True		180	540	False	vo_culture_None	False	wh_main_vo_actor_Bretonnian_Mounted	0	True	False	5	False	False	
wh_main_brt_cav_pegasus_knights	wh_main_brt_cav_pegasus_knights	32	wh_main_shp_transport	1	1	16	False	very_heavy	1410	282	2	0	1410	3	monstrous_cavalry	0					False	False	0	8605	True		wh_main_vo_culture_Bretonnian	cavalry_flying	cavalry_flying	4	False	emp_reiksguard		False	True	composite_scene/porthole/pegasus_riders_porthole_01.csc	1410	0	False	vo_culture_None	False	wh_main_vo_actor_Bretonnian_Knight	0	True	False	6	False	False	
wh_main_brt_inf_men_at_arms	wh_main_brt_inf_men_at_arms	320	wh_main_shp_transport	1	1	160	False	medium	640	128	1	-1	640	0	melee_infantry	0					False	False	0	8843	True		wh_main_vo_culture_Bretonnian	infantry_spear_halberd	infantry_spear_halberd	3	False	emp_soldier_15_degrees		False	True		640	0	False	vo_culture_None	False	wh_main_vo_actor_Bretonnian_Infantry	0	True	False	6	False	False	
wh_main_brt_inf_peasant_bowmen	wh_main_brt_inf_peasant_bowmen	200	wh_main_shp_transport	1	1	100	False	light	480	96	1	-1	480	0	missile_infantry	0					False	False	0	8846	True		wh_main_vo_culture_Bretonnian	missile_infantry_bow	missile_infantry_bow	1	False	emp_soldier_30_degrees		False	True		96	384	False	vo_culture_None	False	wh_main_vo_actor_Bretonnian_Infantry	0	True	False	6	False	False	
wh_main_brt_inf_spearmen_at_arms	wh_main_brt_inf_spearmen_at_arms	320	wh_main_shp_transport	1	1	160	False	medium	510	102	1	-1	510	0	melee_infantry	0					False	False	0	8852	True		wh_main_vo_culture_Bretonnian	infantry_spear	infantry_spear	1	False	emp_soldier_15_degrees		False	True		510	0	False	vo_culture_None	False	wh_main_vo_actor_Bretonnian_Infantry	0	True	False	6	False	False	
