unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/!!!@@@units_200
wh2_dlc09_tmb_art_screaming_skull_catapult_0		0	warmachine	1	False	wh2_dlc09_tmb_art_screaming_skull_catapult_0	88	0	750	wh_main_shp_transport	1	1	44	0	0	very_heavy		0	True	wh2_dlc09_vo_culture_Tomb_Kings	catapult	2	False	tmb_skeleton_warriors		False		80	720	True	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	False	wh_main_vo_actor_default	0	False	False	6	False	False		0	True	1	False
wh2_dlc09_tmb_cav_hexwraiths		0	melee_cavalry	2	False	wh2_dlc09_tmb_cav_hexwraiths	120	0	1475	wh_main_shp_transport	1	1	60	0	0	heavy		0	True	wh2_dlc09_vo_culture_Tomb_Kings_Hexwraith	vmp_cavalry_scythe	3	False	vamp_hex_wraith		False		1400	0	False	vo_culture_None	False	wh_main_vo_actor_default	0	False	False	6	False	False		0	True	1	False
wh2_dlc09_tmb_cav_necropolis_knights_0		0	monstrous_cavalry	2	False	wh2_dlc09_tmb_cav_necropolis_knights_0	48	0	1400	wh_main_shp_transport	1	1	24	0	0	medium		0	True	wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_necroserpent_spear	3	False	tmb_necro_knights		False		1400	0	False	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	False	wh_main_vo_actor_default	0	False	False	6	False	False		0	True	1	False
wh2_dlc09_tmb_cav_necropolis_knights_1		0	monstrous_cavalry	2	False	wh2_dlc09_tmb_cav_necropolis_knights_1	48	0	1450	wh_main_shp_transport	1	1	24	0	0	medium		0	True	wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_necroserpent_halberd	4	False	tmb_necro_knights		False		1450	0	False	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	False	wh_main_vo_actor_default	0	False	False	6	False	False		0	True	1	False
wh2_dlc09_tmb_cav_necropolis_knights_ror		1	monstrous_cavalry	2	False	wh2_dlc09_tmb_cav_necropolis_knights_ror	48	1	1700	wh_main_shp_transport	1	1	24	0	0	medium		0	True	wh2_dlc09_vo_culture_Tomb_Kings	wh2_dlc09_tmb_necroserpent_spear	4	False	tmb_necro_knights		False		1700	0	False	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	True	wh_main_vo_actor_default	0	False	False	1	False	False		0	True	1	True
wh2_dlc09_tmb_cav_nehekhara_horsemen_0		0	melee_cavalry	1	False	wh2_dlc09_tmb_cav_nehekhara_horsemen_0	120	0	650	wh_main_shp_transport	1	1	60	0	0	heavy		0	True	wh2_dlc09_vo_culture_Tomb_Kings	cavalry_skeleton	2	False	emp_reiksguard		False		650	0	False	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	False	wh_main_vo_actor_default	0	False	False	6	False	False		0	True	1	False
wh2_dlc09_tmb_cav_nehekhara_horsemen_ror		1	melee_cavalry	1	False	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror	120	1	900	wh_main_shp_transport	1	1	60	0	0	heavy		0	True	wh2_dlc09_vo_culture_Tomb_Kings	cavalry_skeleton	2	False	emp_reiksguard		False		1000	0	False	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	True	wh_main_vo_actor_default	0	False	False	1	False	False		0	True	1	True
wh2_dlc09_tmb_cav_skeleton_horsemen_0		0	melee_cavalry	1	False	wh2_dlc09_tmb_cav_skeleton_horsemen_0	120	0	400	wh_main_shp_transport	1	1	60	0	0	medium		0	True	wh2_dlc09_vo_culture_Tomb_Kings	cavalry_spear_skeleton	1	False	emp_reiksguard		False		400	0	False	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	False	wh_main_vo_actor_default	0	False	False	6	False	False		0	True	1	False
wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0		0	missile_cavalry	1	False	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	120	0	475	wh_main_shp_transport	1	1	60	0	0	medium		0	True	wh2_dlc09_vo_culture_Tomb_Kings	missile_cavalry_bow_skeleton	1	False	emp_reiksguard		False		100	400	False	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	False	wh_main_vo_actor_default	0	False	False	5	False	False		0	True	1	False
wh2_dlc09_tmb_inf_crypt_ghouls		0	melee_infantry	1	False	wh2_dlc09_tmb_inf_crypt_ghouls	240	0	600	wh_main_shp_transport	1	1	120	0	0	heavy		0	True	wh2_dlc09_vo_culture_Tomb_Kings_Crypt_Ghoul	vmp_crypt_ghouls	2	False	vamp_ghoul		False		600	0	False	vo_culture_None	False	wh_main_vo_actor_default	0	False	False	6	False	False		0	True	1	False
wh2_dlc09_tmb_inf_nehekhara_warriors_0		0	melee_infantry	1	False	wh2_dlc09_tmb_inf_nehekhara_warriors_0	240	0	525	wh_main_shp_transport	1	1	120	0	0	heavy		0	True	wh2_dlc09_vo_culture_Tomb_Kings	infantry_sword_dual	2	False	tmb_skeleton_warriors		False		525	0	False	wh2_dlc09_vo_culture_Tomb_Kings_Creature_Order_Giver	False	wh_main_vo_actor_default	0	False	False	6	False	False		0	True	1	False
